video,matetar(14),wharton(20),lacorix(5)
1,3,14,
2,14 57,11 45,19
3,17 39,14,2
4,,3,31
5,54,8,7
6,7,9,36
7,,3,7
8,29,5 12,42
9,,1,19
10,40 44,6 17,3
11,5,6,
12,15,,
13,7 23,12,
14,8,5 15,
15,5 10,9,
16,4,9 15,
17,2 50,6 31 32 39 51,31
18,4,11,
19,9,20,
20,5,16,
21,1,25,
22,14,4,
23,2,,
24,1,,
25,7 22,6 11,34
26,11,7 24 55,4
27,40,10,38
28,1,17,22 28 37
29,,16 40,
30,,9,
31,18 25,8,
32,2,21,
33,8,2 24,
34,9,7,
35,7,4 17,53
36,17,5,11
37,9,19,
38,9 39,34 37,
39,4,5,
40,40,3 25,
41,4 6,1 27,
42,1,5,34
43,8,4 5, 
44,,1,3 21
45,34,6,1
46,9,4,
47,5,14,
48,42,,
49,5,,
50,4 38,18,
51,4,13,
52,6 32,2,
53,10 48,14 54,29 45
54,1,11,33
55,8 30,5,2
56,4,,
57,2,23,
58,10,13 36 55,21
59,56,9 44,
60,3,,
61,1,19,
62,3,8,
63,4,7,55
64,3 7,2 6 30,10
65,14,7,
66,5,12,
67,5,7,
68,4,18,32
69,33,22,7 24
70,3,39,
71,9,14,
72,1,,
73,1,12,
74,4,11 30,
75,,46,13
76,,3,1
77,,5,16
78,,11,7
79,32 47,5,
80,5,12,
81,9,6,
82,3,16,
83,15,4,
84,16 52,8,27 40
85,23,,56
86,11 46,57,1
87,16 19 62,5,21 47
88,10 29,19,17
89,,11 14,5 29
90,,2,3 8
91,2,7,40
92,41,12 26,10
93,2,6,47
94,37,5,2
95,10 30,7,
96,10,,
97,7,9,
98,10,3 13 43,24
99,36,6 66,5
100,15,3 43,
101,4,11,
102,8,3,
103,2,31,57
104,11 15,8 40,5
105,5,16,
106,8,10,
107,,2,23
108,,46 17,53 12
109,,2 8,6 7
110,36,8,20
111,6,33,45
112,,7,6
113,,5,3
114,62,7 37,40
115,13,4,
116,9 40,19,
117,7,4,25
118,20,3,14
119,29,7,12
120,,12,6
121,34,5,4 49
122,37,3,13
123,19,2,46
124,,8,4
125,46,,4
126,25,5,
127,5,69,
128,1,3,
129,8 25,14,37
130,7,4,34
131,16,1 33,54
132,15 50,12,
133,28,4 6,
134,11 23 79,55,27
135,14,4 51,33
136,35,7,2
137,20,21 32,2
138,7,26,35
139,11,5,39
140,34,19 53,4
141,11,5,
142,1,40,
143,8,7,38 48
144,37,7,11
145,14,17,25
146,25,13,24 38
147,3,14 43,42
148,4 39,10,13
149,5,18,15
150,3 25 39,9,
151,2 24,,
152,,7 55,35
153,56,11 49,10 13
154,30 38,6,26
155,21 50,22 43,66
156,,6 27,17
157,12,4,14
158,,4,
159,3,,
160,6,30,
161,6,11,
162,32,15,45
163,22,27,9
164,2 32,7,
165,7 53,46,
166,13,8,
167,5,4,
168,6,,
169,12,,
170,10,,
171,8,13,
172,12,8,58
173,4,10 41,11 59
174,16 34,3 36 39,8 37 38
175,15,9 18,11 21
176,19 31 43,11,18
177,7 20,13,10 49
178,4,15,7
179,6,29,45
180,9 61,10,5 49
181,1,5,8
182,16 54,,
183,9 51,23,
184,22 2,38,
185,17 32 44 55,3,
186,26,12 53,
187,12 42,4,
188,5,12,
189,14,1,
190,10,3,32
191,2 14,13,16
192,15,3,
193,3,23,
194,2,4 38,
195,14 52,3,15 35
196,3,9,
197,5,19,38
198,,40,8 61
199,94,13 80,16
200,3 4,20,31
201,,11 3 10,10 24
202,"2,15",,
203,16,27,36
204,10,31,28
205,7,,
206,2,29,
207,4,,
208,5,,
209,8 61,18 11,53
210,10 30,,
211,7,21,41
212,14,11,13
213,49,4 28,6 33
214,26,8 36,19
215,8 46,11 64,15 6
216,17 37,1,15 36
217,9 38,12 44,
218,19,18 5,18
219,47,6 30,1 31
220,11,21,
221,3,5,47
222,12 26,6 39,
223,9,12 58,15
224,68,4 43,13 37
225,5,12,29
226,27,12 40,58
227,7,54 36,6
228,,14,7 66
229,4,14,8
230,39,13,8
231,2,28,27
232,3,11 10,15 6
233,2,25,
234,4,38,
235,6,14,3
236,8 22,46,
237,54,8,
238,7,,
239,7,15,
240,5,6,
241,,,8 40
242,56,5,4
243,4,22,11
244,7,12 26,62
245,18 28,10 53,11 61
246,,56,6 32
247,19,55,
248,12 7,11,
249,4 42,13 51,
250,8,9 28,41
251,62,12 5,3 33
252,19 15,6,5
253,19,25,59
254,,12 50,1
255,,12,
256,9 11,32,
257,10,3,12
258,11,18 38,28 84
259,3,6,14
260,24,1,
261,29,11,
262,5,13,
263,,57,4
264,1,8,9
265,5,18,
266,13,,
267,13,9,
268,1,5,
269,9,18 33,41
270,3,10,41
271,12,19,15
272,2,12,50
273,44,2,37
274,31,8,13
275,11,5,9
276,24,,
277,3,27,
278,11,9,
279,4,9,
280,2,13,
281,6,10,
282,5,16,43
283,,4,14 36
284,33,5,
285,18,7,
286,2,21,48
287,,27,8
288,8 20,41,
289,9,14 44,55
290,54,14 21,13 3
291,8,7,13
292,3,16,4
293,17,14,10
294,16,14,8
295,52,28,
296,9 7,13,
297,5 1,66,
298,23,6,
299,3 7,24 31,
300,3,24 31,
301,29,15,
302,5,39 62,
303,50,7,26
304,3,6,
305,12,9,39
306,16 46,9,59
307,,42 77,44
308,,40,
309,20,3 23,
310,3,7,
311,3 57,11,46 59
312,26,4,7 44
313,6,15,8
314,14,19 37,4
315,35,38 43,17 49 71
316,1,9 33,42 52
317,1,9 19,14 63
318,8,14,11 13
319,4 29,12 24 35,44
320,,48,3 30
321,,4,14
322,,6,8
323,2,33,
324,39,4 31,22
325,4 43,5 11,15
326,6,23,
327,3,1 8,24 31
328,,4 40,19
329,25,1 12,5 15
330,32,17,1
331,,,
332,,7 21,
333,,6,
334,,54 60,1
335,,9,7 39
336,,10,14 23
337,,14 32,16 24
338,,15,14
339,,8 49,43
340,,6 17,7 33
341,,1 16,9 12
342,,15,12 21 67
343,,3,11
344,,33,64
345,,2,14
346,,6,17
347,,10 18,3
348,,12,23
349,,11 46,22 28
350,,9,24 42
351,,48,
352,,5,35
353,,14 36,8 52
354,,18,6 10
355,,,
356,,,6
357,,,28
358,,,
359,,,16
360,,,11
361,,,
362,,,35
363,,,10
364,,,9
365,,,9
366,,,
367,,,44
368,,,5
369,,,8 31 45
370,,,3
371,,,28
372,,,7 23
373,,,35
374,,,15
375,,,22
376,,,2 28
377,,,14
378,,,
379,,,
380,,,15
381,,,3 8
382,,,
383,,,6
384,,,
385,,,
386,,,
387,,,34
388,,,6
389,,,23
390,,,8 56
391,,,16
392,,,
