Player
Max Aarons
Rodrigo Abajas
Keyliane Abdallah
Yunis Abdelhamid
Mohamed Abdelmoneim
Saud Abdulhamid
Abel
Nabil Aberdin
Oliver Abildgaard
Matthis Abline
Abner
Abdel Abqar
Tammy Abraham
Federico Accornero
Francesco Acerbi
Joshua Acheampong
Akor Adams
Che Adams
Tyler Adams
Junior Adamu
Tosin Adarabioyo
Martin Adeline
Yacine Adli
Adryelson
Michel Aebischer
Emmanuel Agbadou
Asher Agbinone
Lucien Agoume
Felix Agu
Álvaro Aguado
Lorenzo Aguado
Nayef Aguerd
Jean-Eudes Aholou
Joseph Aidoo
Ola Aina
Rayan Aït-Nouri
Junior Ajayi
Kristoffer Ajer
Ludovic Ajorque
Manuel Akanji
Ümit Akdag
Nathan Aké
Sergio Akieme
Paul Akouokou
Clément Akpa
Jean-Daniel Akpa-Akpro
Kevin Akpoguma
Chuba Akpom
David Alaba
Ibrahim Alani
Andreas Albers
Raúl Albiol
Carlos Alcaraz
Omar Alderete
Trent Alexander-Arnold
Tadeo Allende
Jim Allevinah
Dele Alli
Miguel Almirón
Marcos Alonso
Giorgio Altare
Sergi Altimira
Olabade Aluko
Edson Álvarez
Julián Álvarez
Yeray Álvarez
Skelly Alvero
Will Alves
Selim Amallah
Harry Amass
Jordan Amavi
Aurele Amenda
Kelvin Amian
Michael Amir Murillo
Nadiem Amiri
Mathis Amougou
Mohamed Amoura
Sofyan Amrabat
Joachim Andersen
Elliot Anderson
André
Benjamin André
Marcos André
Angeliño
Lorenzo Anghelè
Faustino Anjorin
Waldemar Anton
Leandro Antonetti
Michail Antonio
Dennis Appiah
Aritz Arambarri
Mauro Arambarri
Jon Aramburu
Julian Araujo
Ronald Araújo
Cameron Archer
Carlens Arcus
Adu Ares
Jesús Areso
David Argüelles
Harrison Armstrong
Marko Arnautović
Maximilian Arnold
Sergio Arribas
Arthur
Raúl Asencio
Marco Asensio
Kristjan Asllani
Valentin Atangana Edoa
Tommaso Augello
Carlos Augusto
Yann Aurel Bisseck
Ezequiel Ávila
Taiwo Awoniyi
Yasin Ayari
Florian Ayé
André Ayew
Neil El Aynaoui
Ayman Azhil
Adam Aznou
César Azpilicueta
Paulo Azzi
Oussama El Azzouzi
Papa Ba
Jacopo Bacci
Loïc Bade
Milan Badelj
Benoît Badiashile
Juma Bah
Eric Bailly
Theo Bair
Cédric Bakambu
Mitchel Bakker
Alejandro Balde
Keita Baldé
Carlos Baleba
Leonardo Balerdi
Iván Balliu
Botond Balogh
Folarin Balogun
Abdoulaye Bamba
Mohamed Bamba
Daniel Bandeira
Mattia Bani
Noahkai Banks
Adrian Baquerin
Antonín Barák
Federico Barba
Bradley Barcola
Nicolò Barella
Borna Barišić
Téo Barisic
Ross Barkley
Aymen Barkok
Harvey Barnes
Enzo Barrenechea
Pablo Barrios
Thierno Barry
Davide Bartesaghi
Marc Bartra
Federico Baschirotto
Daniele Baselli
Calvin Bassey
Aboubacar Bassinga
Alessandro Bastoni
Michy Batshuayi
Dylan Batubinsika
Maximilian Bauer
Christoph Baumgartner
Rafael Bauza
Ihlas Bebou
Timo Becker
Jan Bednarek
Donny van de Beek
Hannes Behrens
Kevin Behrens
Luken Beitia
Reda Belahyane
Haris Belkebla
Yassin Belkhdim
Stefan Bell
Armel Bella Kotchap
Raoul Bellanova
Héctor Bellerín
Jude Bellingham
Andrea Belotti
Fran Beltrán
Carlos Benavídez
Ismaël Bennacer
Ramy Bensebaini
Nabil Bentaleb
Rodrigo Bentancur
Lucas Beraldo
Yuri Berchiche
Sander Berge
Lucas Bergvall
Medon Berisha
Adrian Bernabe
Marc Bernal
Bernardo
Maxime Bernauer
Antoine Bernede
Victor Bernth Kristiansen
Matúš Bero
Juan Berrocal
Beto
Sam Beukema
Alessandro Bianco
Mika Biereth
Jaka Bijol
Philip Billing
Cristiano Biraghi
Yves Bissouma
Leonardo Bittencourt
Emmanuel Biumla
Antonio Blanco
Daley Blind
Myron Boadu
Oscar Bobb
Mathéo Bodmer
Sacha Boey
Emil Bohinen
Willy Boly
Moïse Bombito
Warren Bondo
Victor Boniface
Kevin Bonifazi
Ange-Yoan Bonny
Sebastiaan Bornauw
Sven Botman
Ayyoub Bouaddi
Benjamin Bouchouari
Hicham Boudaoui
Carlo Boukhalfa
Justin Bourgault
Benjamin Bourigeaud
Enzo Boyomo
Domagoj Bradarić
Conor Bradley
Bilal Brahimi
Julian Brandt
Jarrad Branthwaite
Darko Brašanac
Lilian Brassier
Matthias Braunöder
James Bree
Tim Breithaupt
Gleison Bremer
Ben Brereton
Marco Brescianini
Anthony Briançon
