Player,matched_name,match_status,Stamina,Pace,Acceleration,Work Rate,source_url
Max Aarons,Max Aarons FM26 Profile,partial,140,140,140,150,https://fmplayer.net/fm-26/max-aarons-29173977
Rodrigo Abajas,Ro Abajas FM26 Profile,first_result,130,120,130,130,https://fmplayer.net/fm-26/ro-abajas-2000217243
Keyliane Abdallah,Keyliane Abdallah FM26 Profile,partial,80,130,130,70,https://fmplayer.net/fm-26/keyliane-abdallah-2000292795
Yunis Abdelhamid,Yunis Abdelhamid FM26 Profile,partial,110,100,100,130,https://fmplayer.net/fm-26/yunis-abdelhamid-85122308
Mohamed Abdelmoneim,Basem Abdelmoneim FM26 Profile,first_result,60,110,140,100,https://fmplayer.net/fm-26/basem-abdelmoneim-2000336127
Saud Abdulhamid,Saud Abdulhamid FM26 Profile,partial,150,150,150,150,https://fmplayer.net/fm-26/saud-abdulhamid-2000042460
Abel,Abel Luciatti FM26 Profile,partial,130,120,130,130,https://fmplayer.net/fm-26/abel-luciatti-14043351
Nabil Aberdin,Nabil Aberdin FM26 Profile,partial,130,120,110,120,https://fmplayer.net/fm-26/nabil-aberdin-2000211857
Oliver Abildgaard,Oliver Abildgaard FM26 Profile,partial,140,110,110,150,https://fmplayer.net/fm-26/oliver-abildgaard-27093157
Matthis Abline,Matthis Abline FM26 Profile,partial,130,160,160,130,https://fmplayer.net/fm-26/matthis-abline-49056366
Abner,Abner Vinicius FM26 Profile,partial,150,150,150,140,https://fmplayer.net/fm-26/abner-vinicius-19386116
Abdel Abqar,Abdelkabir Abqar FM26 Profile,first_result,150,140,120,150,https://fmplayer.net/fm-26/abdelkabir-abqar-67257704
Tammy Abraham,Tammy Abraham FM26 Profile,partial,130,140,130,140,https://fmplayer.net/fm-26/tammy-abraham-28097985
Federico Accornero,Federico Accornero FM26 Profile,partial,110,120,120,120,https://fmplayer.net/fm-26/federico-accornero-2000024038
Francesco Acerbi,Francesco Acerbi FM26 Profile,partial,150,100,100,190,https://fmplayer.net/fm-26/francesco-acerbi-43017499
Joshua Acheampong,Frank Acheampong FM26 Profile,first_result,100,160,160,110,https://fmplayer.net/fm-26/frank-acheampong-13107111
Akor Adams,Akor Adams FM26 Profile,partial,140,160,140,130,https://fmplayer.net/fm-26/akor-adams-53167062
Che Adams,Denis Che Che FM26 Profile,first_result,110,130,130,80,https://fmplayer.net/fm-26/denis-che-che-2000356657
Tyler Adams,Tyler Adams FM26 Profile,partial,170,130,140,180,https://fmplayer.net/fm-26/tyler-adams-72044918
Junior Adamu,Junior Adamu FM26 Profile,partial,160,140,150,160,https://fmplayer.net/fm-26/junior-adamu-16202374
Tosin Adarabioyo,Tosin Adarabioyo FM26 Profile,partial,140,140,140,130,https://fmplayer.net/fm-26/tosin-adarabioyo-28100239
Martin Adeline,Martin Adeline FM26 Profile,partial,130,120,110,130,https://fmplayer.net/fm-26/martin-adeline-2000024505
Yacine Adli,Yacine Adli FM26 Profile,partial,130,120,110,150,https://fmplayer.net/fm-26/yacine-adli-48044568
Adryelson,Adryelson FM26 Profile,partial,130,130,120,140,https://fmplayer.net/fm-26/adryelson-19250021
Michel Aebischer,Michel Aebischer FM26 Profile,partial,150,130,120,130,https://fmplayer.net/fm-26/michel-aebischer-98040986
Emmanuel Agbadou,Emmanuel Agbadou FM26 Profile,partial,130,140,130,140,https://fmplayer.net/fm-26/emmanuel-agbadou-12078577
Asher Agbinone,Asher Agbinone FM26 Profile,partial,100,130,140,90,https://fmplayer.net/fm-26/asher-agbinone-2000216065
Lucien Agoume,Lucien Agoumé FM26 Profile,first_result,160,140,130,160,https://fmplayer.net/fm-26/lucien-agoume-49048461
Felix Agu,Felix Agu FM26 Profile,partial,130,160,140,150,https://fmplayer.net/fm-26/felix-agu-92098106
Álvaro Aguado,Álvaro Aguado FM26 Profile,partial,140,130,120,150,https://fmplayer.net/fm-26/alvaro-aguado-67245476
Lorenzo Aguado,Álvaro Aguado FM26 Profile,first_result,140,130,120,150,https://fmplayer.net/fm-26/alvaro-aguado-67245476
Nayef Aguerd,Nayef Aguerd FM26 Profile,partial,140,140,130,130,https://fmplayer.net/fm-26/nayef-aguerd-13199286
Jean-Eudes Aholou,Roger Aholou FM26 Profile,first_result,160,120,120,140,https://fmplayer.net/fm-26/roger-aholou-12077808
Joseph Aidoo,Joseph Aidoo FM26 Profile,partial,140,140,130,140,https://fmplayer.net/fm-26/joseph-aidoo-13158416
Ola Aina,Ola Aina FM26 Profile,partial,140,170,180,150,https://fmplayer.net/fm-26/ola-aina-28090452
Rayan Aït-Nouri,Rayan Aït Amer FM26 Profile,first_result,70,140,140,80,https://fmplayer.net/fm-26/rayan-ait-amer-2000399385
Junior Ajayi,Junior Ajayi FM26 Profile,partial,60,150,150,100,https://fmplayer.net/fm-26/junior-ajayi-13162729
Kristoffer Ajer,Kristoffer Ajer FM26 Profile,partial,140,130,130,150,https://fmplayer.net/fm-26/kristoffer-ajer-53110135
Ludovic Ajorque,Ludovic Ajorque FM26 Profile,partial,140,120,110,160,https://fmplayer.net/fm-26/ludovic-ajorque-85103818
Manuel Akanji,Manuel Akanji FM26 Profile,partial,150,150,140,130,https://fmplayer.net/fm-26/manuel-akanji-98031331
Ümit Akdag,Ümit Akdağ FM26 Profile,first_result,120,120,110,130,https://fmplayer.net/fm-26/umit-akdag-2000204335
Nathan Aké,Nathan Aké FM26 Profile,partial,150,150,150,160,https://fmplayer.net/fm-26/nathan-ake-37025551
Sergio Akieme,Sergio Akieme FM26 Profile,partial,150,150,150,140,https://fmplayer.net/fm-26/sergio-akieme-67213135
Paul Akouokou,Paul Akouokou FM26 Profile,partial,150,140,130,140,https://fmplayer.net/fm-26/paul-akouokou-33066648
Clément Akpa,Clément Akpa FM26 Profile,partial,130,130,130,140,https://fmplayer.net/fm-26/clement-akpa-49055780
Jean-Daniel Akpa-Akpro,Clément Akpa FM26 Profile,first_result,130,130,130,140,https://fmplayer.net/fm-26/clement-akpa-49055780
Kevin Akpoguma,Kevin Akpoguma FM26 Profile,partial,130,150,130,160,https://fmplayer.net/fm-26/kevin-akpoguma-91109389
Chuba Akpom,Chuba Akpom FM26 Profile,partial,140,160,170,140,https://fmplayer.net/fm-26/chuba-akpom-28084927
David Alaba,David Alaba FM26 Profile,partial,140,140,140,140,https://fmplayer.net/fm-26/david-alaba-16010162
Ibrahim Alani,Gabriel Alanís FM26 Profile,first_result,130,150,140,140,https://fmplayer.net/fm-26/gabriel-alanis-14046870
Andreas Albers,Karl Albers FM26 Profile,first_result,10,120,90,60,https://fmplayer.net/fm-26/karl-albers-2000108151
Raúl Albiol,Raúl Albiol FM26 Profile,partial,100,70,60,160,https://fmplayer.net/fm-26/raul-albiol-7452450
Carlos Alcaraz,Carlos Alcaraz FM26 Profile,partial,130,130,130,140,https://fmplayer.net/fm-26/carlos-alcaraz-14238164
Omar Alderete,Omar Alderete FM26 Profile,partial,140,130,110,140,https://fmplayer.net/fm-26/omar-alderete-79027217
Trent Alexander-Arnold,Trent Alexander FM26 Profile,first_result,90,90,120,130,https://fmplayer.net/fm-26/trent-alexander-2000475024
Tadeo Allende,Tadeo Allende FM26 Profile,partial,130,140,130,140,https://fmplayer.net/fm-26/tadeo-allende-2000091490
Jim Allevinah,Jim Allevinah FM26 Profile,partial,130,140,150,120,https://fmplayer.net/fm-26/jim-allevinah-50039251
Dele Alli,Dele Alli FM26 Profile,partial,80,90,90,70,https://fmplayer.net/fm-26/dele-alli-29085579
Miguel Almirón,Miguel Almirón FM26 Profile,partial,150,170,160,200,https://fmplayer.net/fm-26/miguel-almiron-79024232
Marcos Alonso,Marcos Alonso FM26 Profile,partial,130,120,120,140,https://fmplayer.net/fm-26/marcos-alonso-67080310
Giorgio Altare,Giorgio Altare FM26 Profile,partial,150,110,110,140,https://fmplayer.net/fm-26/giorgio-altare-43206161
Sergi Altimira,Sergi Altimira FM26 Profile,partial,170,110,120,150,https://fmplayer.net/fm-26/sergi-altimira-2000116169
Olabade Aluko,Bade Aluko FM26 Profile,first_result,150,130,110,140,https://fmplayer.net/fm-26/bade-aluko-2000261216
Edson Álvarez,Edson Álvarez FM26 Profile,partial,160,120,120,160,https://fmplayer.net/fm-26/edson-alvarez-51054011
Julián Álvarez,Julián Álvarez FM26 Profile,partial,160,140,160,160,https://fmplayer.net/fm-26/julian-alvarez-14183207
Yeray Álvarez,Yeray FM26 Profile,first_result,130,130,130,140,https://fmplayer.net/fm-26/yeray-67192475
Skelly Alvero,Skelly Alvero FM26 Profile,partial,140,120,120,150,https://fmplayer.net/fm-26/skelly-alvero-49054583
Will Alves,Matheus Alves FM26 Profile,first_result,110,120,130,130,https://fmplayer.net/fm-26/matheus-alves-2000206434
Selim Amallah,Selim Amallah FM26 Profile,partial,140,130,130,120,https://fmplayer.net/fm-26/selim-amallah-18089862
Harry Amass,Harry Amass FM26 Profile,partial,130,130,140,130,https://fmplayer.net/fm-26/harry-amass-2000280807
Jordan Amavi,Jordan Amavi FM26 Profile,partial,130,130,130,140,https://fmplayer.net/fm-26/jordan-amavi-85126966
Aurele Amenda,Aurèle Amenda FM26 Profile,first_result,120,140,120,130,https://fmplayer.net/fm-26/aurele-amenda-84161623
Kelvin Amian,Kelvin Amian FM26 Profile,partial,140,130,130,130,https://fmplayer.net/fm-26/kelvin-amian-48031443
Michael Amir Murillo,Amir Murillo FM26 Profile,first_result,140,150,140,140,https://fmplayer.net/fm-26/amir-murillo-80028885
Nadiem Amiri,Nadiem Amiri FM26 Profile,partial,150,120,120,170,https://fmplayer.net/fm-26/nadiem-amiri-91143491
Mathis Amougou,Mathis Amougou FM26 Profile,partial,120,110,120,120,https://fmplayer.net/fm-26/mathis-amougou-2000200565
Mohamed Amoura,Mohamed Amoura FM26 Profile,partial,150,170,180,150,https://fmplayer.net/fm-26/mohamed-amoura-2000069643
Sofyan Amrabat,Sofyan Amrabat FM26 Profile,partial,150,120,110,140,https://fmplayer.net/fm-26/sofyan-amrabat-37045879
Joachim Andersen,Joachim Andersen FM26 Profile,partial,130,120,130,120,https://fmplayer.net/fm-26/joachim-andersen-27069975
Elliot Anderson,Elliot Anderson FM26 Profile,partial,140,120,140,170,https://fmplayer.net/fm-26/elliot-anderson-28127254
André,Marc-André ter Stegen FM26 Profile,partial,130,110,130,100,https://fmplayer.net/fm-26/marc-andre-ter-stegen-35017428
Benjamin André,Benjamin André FM26 Profile,partial,160,130,140,140,https://fmplayer.net/fm-26/benjamin-andre-85028361
Marcos André,Marcos André FM26 Profile,partial,130,140,130,130,https://fmplayer.net/fm-26/marcos-andre-19270874
Angeliño,Angeliño FM26 Profile,partial,160,140,150,170,https://fmplayer.net/fm-26/angelino-28095342
Lorenzo Anghelè,Lorenzo Anghelé FM26 Profile,first_result,110,110,120,110,https://fmplayer.net/fm-26/lorenzo-anghele-2000098304
Faustino Anjorin,Faustino Anjorin FM26 Profile,partial,120,130,140,120,https://fmplayer.net/fm-26/faustino-anjorin-28121366
